date_transited,item_type,from_library,from_authority,to_library,to_authority
2017-12-21,Adult Non Fiction,Bridport Library,Dorset,Chipping Sodbury Library,South Gloucestershire
2017-12-21,Adult Fiction,Paulton Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2017-12-21,Adult Fiction,Paulton Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2017-12-21,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-21,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-21,Adult Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-22,15 DVD Standard,Midsomer Norton Library,Bath and North East Somerset,Paulton Library,Bath and North East Somerset
2017-12-22,Adult Reference,Bath Central Library,Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset
2017-12-22,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-22,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-22,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-22,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-22,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-25,Adult Fiction,Weston (Bath) Library,Bath and North East Somerset,Radstock Library,Bath and North East Somerset
2017-12-26,Adult Spoken Word,B&NES Mobile Libraries,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2017-12-26,Adult Spoken Word,B&NES Mobile Libraries,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2017-12-27,Adult Spoken Word,B&NES Mobile Libraries,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-28,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-29,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2017-12-29,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
