month_placed,item_authority,pickup_authority,reservations,days_taken
2017-12,Bath and North East Somerset,Bath and North East Somerset,698,10
2017-12,Bath and North East Somerset,Bristol,271,29
2017-12,Bath and North East Somerset,Dorset,326,32
2017-12,Bath and North East Somerset,North Somerset,141,17
2017-12,Bath and North East Somerset,Poole,42,29
2017-12,Bath and North East Somerset,Somerset,212,18
2017-12,Bath and North East Somerset,South Gloucestershire,119,23
2017-12,Bristol,Bath and North East Somerset,460,22
2017-12,Bristol,Bristol,3498,11
2017-12,Bristol,Dorset,1281,28
2017-12,Bristol,North Somerset,529,17
2017-12,Bristol,Poole,141,20
2017-12,Bristol,Somerset,775,21
2017-12,Bristol,South Gloucestershire,428,18
2017-12,Dorset,Bath and North East Somerset,316,21
2017-12,Dorset,Bristol,639,22
2017-12,Dorset,Dorset,4161,9
2017-12,Dorset,North Somerset,291,16
2017-12,Dorset,Poole,97,24
2017-12,Dorset,Somerset,562,18
2017-12,Dorset,South Gloucestershire,263,20
2017-12,North Somerset,Bath and North East Somerset,140,30
2017-12,North Somerset,Bristol,306,25
2017-12,North Somerset,Dorset,423,37
2017-12,North Somerset,North Somerset,813,9
2017-12,North Somerset,Poole,59,29
2017-12,North Somerset,Somerset,221,22
2017-12,North Somerset,South Gloucestershire,122,22
2017-12,Poole,Bath and North East Somerset,201,28
2017-12,Poole,Bristol,436,30
2017-12,Poole,Dorset,669,30
2017-12,Poole,North Somerset,196,22
2017-12,Poole,Poole,419,10
2017-12,Poole,Somerset,342,24
2017-12,Poole,South Gloucestershire,196,28
2017-12,Somerset,Bath and North East Somerset,568,22
2017-12,Somerset,Bristol,1131,23
2017-12,Somerset,Dorset,1571,26
2017-12,Somerset,North Somerset,595,17
2017-12,Somerset,Poole,196,25
2017-12,Somerset,Somerset,3574,10
2017-12,Somerset,South Gloucestershire,500,22
2017-12,South Gloucestershire,Bath and North East Somerset,179,28
2017-12,South Gloucestershire,Bristol,432,31
2017-12,South Gloucestershire,Dorset,527,37
2017-12,South Gloucestershire,North Somerset,234,22
2017-12,South Gloucestershire,Poole,69,33
2017-12,South Gloucestershire,Somerset,354,29
2017-12,South Gloucestershire,South Gloucestershire,850,10
2018-01,Bath and North East Somerset,Bath and North East Somerset,1025,12
2018-01,Bath and North East Somerset,Bristol,407,22
2018-01,Bath and North East Somerset,Dorset,469,27
2018-01,Bath and North East Somerset,North Somerset,223,17
2018-01,Bath and North East Somerset,Poole,70,20
2018-01,Bath and North East Somerset,Somerset,316,20
2018-01,Bath and North East Somerset,South Gloucestershire,174,20
2018-01,Bristol,Bath and North East Somerset,719,22
2018-01,Bristol,Bristol,4759,11
2018-01,Bristol,Dorset,1745,26
2018-01,Bristol,North Somerset,742,14
2018-01,Bristol,Poole,224,19
2018-01,Bristol,Somerset,1142,19
2018-01,Bristol,South Gloucestershire,633,19
2018-01,Dorset,Bath and North East Somerset,474,21
2018-01,Dorset,Bristol,898,20
2018-01,Dorset,Dorset,5317,7
2018-01,Dorset,North Somerset,432,17
2018-01,Dorset,Poole,208,21
2018-01,Dorset,Somerset,838,18
2018-01,Dorset,South Gloucestershire,402,22
2018-01,North Somerset,Bath and North East Somerset,222,31
2018-01,North Somerset,Bristol,465,25
2018-01,North Somerset,Dorset,638,36
2018-01,North Somerset,North Somerset,1249,9
2018-01,North Somerset,Poole,82,26
2018-01,North Somerset,Somerset,420,27
2018-01,North Somerset,South Gloucestershire,199,21
2018-01,Poole,Bath and North East Somerset,313,26
2018-01,Poole,Bristol,569,24
2018-01,Poole,Dorset,938,30
2018-01,Poole,North Somerset,308,18
2018-01,Poole,Poole,686,8
2018-01,Poole,Somerset,546,22
2018-01,Poole,South Gloucestershire,267,25
2018-01,Somerset,Bath and North East Somerset,764,21
2018-01,Somerset,Bristol,1481,20
2018-01,Somerset,Dorset,2199,22
2018-01,Somerset,North Somerset,805,16
2018-01,Somerset,Poole,268,23
2018-01,Somerset,Somerset,4753,10
2018-01,Somerset,South Gloucestershire,592,21
2018-01,South Gloucestershire,Bath and North East Somerset,331,29
2018-01,South Gloucestershire,Bristol,640,28
2018-01,South Gloucestershire,Dorset,819,33
2018-01,South Gloucestershire,North Somerset,326,23
2018-01,South Gloucestershire,Poole,118,34
2018-01,South Gloucestershire,Somerset,537,26
2018-01,South Gloucestershire,South Gloucestershire,1261,10
2018-02,Bath and North East Somerset,Bath and North East Somerset,909,11
2018-02,Bath and North East Somerset,Bristol,347,26
2018-02,Bath and North East Somerset,Dorset,423,40
2018-02,Bath and North East Somerset,North Somerset,189,20
2018-02,Bath and North East Somerset,Poole,68,38
2018-02,Bath and North East Somerset,Somerset,278,24
2018-02,Bath and North East Somerset,South Gloucestershire,166,24
2018-02,Bristol,Bath and North East Somerset,667,26
2018-02,Bristol,Bristol,4191,11
2018-02,Bristol,Dorset,1553,28
2018-02,Bristol,North Somerset,678,17
2018-02,Bristol,Poole,209,23
2018-02,Bristol,Somerset,1038,20
2018-02,Bristol,South Gloucestershire,633,17
2018-02,Dorset,Bath and North East Somerset,441,28
2018-02,Dorset,Bristol,725,24
2018-02,Dorset,Dorset,4918,8
2018-02,Dorset,North Somerset,383,18
2018-02,Dorset,Poole,196,20
2018-02,Dorset,Somerset,671,20
2018-02,Dorset,South Gloucestershire,395,22
2018-02,North Somerset,Bath and North East Somerset,238,26
2018-02,North Somerset,Bristol,428,28
2018-02,North Somerset,Dorset,600,36
2018-02,North Somerset,North Somerset,1130,10
2018-02,North Somerset,Poole,88,30
2018-02,North Somerset,Somerset,383,28
2018-02,North Somerset,South Gloucestershire,208,24
2018-02,Poole,Bath and North East Somerset,256,31
2018-02,Poole,Bristol,495,30
2018-02,Poole,Dorset,764,31
2018-02,Poole,North Somerset,284,23
2018-02,Poole,Poole,601,9
2018-02,Poole,Somerset,458,24
2018-02,Poole,South Gloucestershire,285,21
2018-02,Somerset,Bath and North East Somerset,710,26
2018-02,Somerset,Bristol,1257,24
2018-02,Somerset,Dorset,2019,28
2018-02,Somerset,North Somerset,746,18
2018-02,Somerset,Poole,246,22
2018-02,Somerset,Somerset,4262,11
2018-02,Somerset,South Gloucestershire,642,21
2018-02,South Gloucestershire,Bath and North East Somerset,288,32
2018-02,South Gloucestershire,Bristol,564,28
2018-02,South Gloucestershire,Dorset,756,34
2018-02,South Gloucestershire,North Somerset,320,24
2018-02,South Gloucestershire,Poole,104,32
2018-02,South Gloucestershire,Somerset,496,26
2018-02,South Gloucestershire,South Gloucestershire,1322,11
2018-03,Bath and North East Somerset,Bath and North East Somerset,951,15
2018-03,Bath and North East Somerset,Bristol,335,34
2018-03,Bath and North East Somerset,Dorset,357,45
2018-03,Bath and North East Somerset,North Somerset,175,30
2018-03,Bath and North East Somerset,Poole,56,37
2018-03,Bath and North East Somerset,Somerset,285,31
2018-03,Bath and North East Somerset,South Gloucestershire,149,30
2018-03,Bristol,Bath and North East Somerset,704,34
2018-03,Bristol,Bristol,4757,12
2018-03,Bristol,Dorset,1618,29
2018-03,Bristol,North Somerset,733,16
2018-03,Bristol,Poole,227,25
2018-03,Bristol,Somerset,1102,20
2018-03,Bristol,South Gloucestershire,657,20
2018-03,Dorset,Bath and North East Somerset,430,29
2018-03,Dorset,Bristol,787,23
2018-03,Dorset,Dorset,5029,9
2018-03,Dorset,North Somerset,433,18
2018-03,Dorset,Poole,152,20
2018-03,Dorset,Somerset,729,19
2018-03,Dorset,South Gloucestershire,337,23
2018-03,North Somerset,Bath and North East Somerset,259,37
2018-03,North Somerset,Bristol,578,28
2018-03,North Somerset,Dorset,621,36
2018-03,North Somerset,North Somerset,1227,11
2018-03,North Somerset,Poole,101,28
2018-03,North Somerset,Somerset,442,28
2018-03,North Somerset,South Gloucestershire,225,23
2018-03,Poole,Bath and North East Somerset,270,36
2018-03,Poole,Bristol,535,28
2018-03,Poole,Dorset,804,29
2018-03,Poole,North Somerset,292,22
2018-03,Poole,Poole,521,8
2018-03,Poole,Somerset,441,20
2018-03,Poole,South Gloucestershire,266,25
2018-03,Somerset,Bath and North East Somerset,822,34
2018-03,Somerset,Bristol,1508,26
2018-03,Somerset,Dorset,2125,28
2018-03,Somerset,North Somerset,819,20
2018-03,Somerset,Poole,267,26
2018-03,Somerset,Somerset,4577,11
2018-03,Somerset,South Gloucestershire,676,24
2018-03,South Gloucestershire,Bath and North East Somerset,382,39
2018-03,South Gloucestershire,Bristol,650,31
2018-03,South Gloucestershire,Dorset,834,36
2018-03,South Gloucestershire,North Somerset,355,24
2018-03,South Gloucestershire,Poole,124,28
2018-03,South Gloucestershire,Somerset,486,27
2018-03,South Gloucestershire,South Gloucestershire,1357,12
2018-04,Bath and North East Somerset,Bath and North East Somerset,786,10
2018-04,Bath and North East Somerset,Bristol,370,26
2018-04,Bath and North East Somerset,Dorset,407,33
2018-04,Bath and North East Somerset,North Somerset,168,24
2018-04,Bath and North East Somerset,Poole,71,29
2018-04,Bath and North East Somerset,Somerset,296,24
2018-04,Bath and North East Somerset,South Gloucestershire,183,24
2018-04,Bristol,Bath and North East Somerset,691,23
2018-04,Bristol,Bristol,4420,12
2018-04,Bristol,Dorset,1522,29
2018-04,Bristol,North Somerset,697,17
2018-04,Bristol,Poole,222,21
2018-04,Bristol,Somerset,1105,21
2018-04,Bristol,South Gloucestershire,614,19
2018-04,Dorset,Bath and North East Somerset,420,24
2018-04,Dorset,Bristol,842,22
2018-04,Dorset,Dorset,5038,8
2018-04,Dorset,North Somerset,433,17
2018-04,Dorset,Poole,182,19
2018-04,Dorset,Somerset,723,19
2018-04,Dorset,South Gloucestershire,359,19
2018-04,North Somerset,Bath and North East Somerset,268,27
2018-04,North Somerset,Bristol,607,29
2018-04,North Somerset,Dorset,659,35
2018-04,North Somerset,North Somerset,1338,10
2018-04,North Somerset,Poole,107,32
2018-04,North Somerset,Somerset,453,25
2018-04,North Somerset,South Gloucestershire,203,22
2018-04,Poole,Bath and North East Somerset,256,24
2018-04,Poole,Bristol,540,25
2018-04,Poole,Dorset,797,25
2018-04,Poole,North Somerset,315,22
2018-04,Poole,Poole,608,8
2018-04,Poole,Somerset,492,22
2018-04,Poole,South Gloucestershire,250,20
2018-04,Somerset,Bath and North East Somerset,806,25
2018-04,Somerset,Bristol,1507,26
2018-04,Somerset,Dorset,2130,26
2018-04,Somerset,North Somerset,824,19
2018-04,Somerset,Poole,308,24
2018-04,Somerset,Somerset,4601,12
2018-04,Somerset,South Gloucestershire,649,21
2018-04,South Gloucestershire,Bath and North East Somerset,317,23
2018-04,South Gloucestershire,Bristol,670,29
2018-04,South Gloucestershire,Dorset,812,33
2018-04,South Gloucestershire,North Somerset,376,23
2018-04,South Gloucestershire,Poole,132,31
2018-04,South Gloucestershire,Somerset,606,24
2018-04,South Gloucestershire,South Gloucestershire,1431,10
2018-05,Bath and North East Somerset,Bath and North East Somerset,842,11
2018-05,Bath and North East Somerset,Bristol,357,26
2018-05,Bath and North East Somerset,Dorset,383,35
2018-05,Bath and North East Somerset,North Somerset,191,22
2018-05,Bath and North East Somerset,Poole,70,25
2018-05,Bath and North East Somerset,Somerset,264,20
2018-05,Bath and North East Somerset,South Gloucestershire,164,19
2018-05,Bristol,Bath and North East Somerset,721,27
2018-05,Bristol,Bristol,4524,11
2018-05,Bristol,Dorset,1576,29
2018-05,Bristol,North Somerset,710,18
2018-05,Bristol,Poole,233,23
2018-05,Bristol,Somerset,1097,21
2018-05,Bristol,South Gloucestershire,548,21
2018-05,Dorset,Bath and North East Somerset,434,23
2018-05,Dorset,Bristol,769,21
2018-05,Dorset,Dorset,4716,8
2018-05,Dorset,North Somerset,424,18
2018-05,Dorset,Poole,154,16
2018-05,Dorset,Somerset,669,19
2018-05,Dorset,South Gloucestershire,384,19
